1571051403,3,18,2,"CK,C10,C9,C2;S9,S8,S2,SA;C6,C3,C4,CA;SQ,H2,S4,S10;DA,D6,D5,DQ;H6,H7,H10,H3;D3,D2,D8,D9;C5,S3,S6,S7;H9,SK,SJ,S5;C8,DK,H4,CJ;HK,D7,D10,CQ;HA,HQ,H5,C7;H8,HJ,DJ,D4"
1571051403,3,6,2,"C10,CJ,C6,C2;D9,DK,D8,D5;CQ,C4,D3,C3;DQ,D4,D10,DA;S3,S5,S4,S8;SJ,SA,S2,S7;SQ,S10,S6,S9;C9,C5,HK,C7;D7,H2,D2,DJ;HJ,H6,H4,H10;H5,HA,H3,D6;H9,CK,HQ,H7;CA,SK,C8,H8"
1571051403,3,0,2,"CA,CQ,C6,C2;D4,DQ,DA,D10;S3,SJ,S5,S9;S10,S4,S2,SA;D8,D7,D2,DK;H2,D9,DJ,D3;H5,H9,S8,HK;C5,CJ,CK,D6;H7,H4,S7,H6;C4,C3,HA,C7;H3,S6,H10,HJ;H8,C8,D5,C9;SK,SQ,HQ,C10"
1571051403,3,4,2,"C9,C8,C10,C2;S2,S4,SJ,SA;S3,D4,S7,SK;H8,D8,S8,S9;DQ,DK,D3,D2;HJ,HA,H2,H6;H3,H7,H9,H4;S5,D5,DA,S6;CJ,C7,C5,C4;D6,D10,HK,D7;C3,H5,DJ,H10;S10,SQ,CQ,D9;CK,CA,C6,HQ"
1571051403,3,0,2,"CA,CJ,C5,C2;SQ,S2,S3,S10;S9,SJ,C7,S8;D5,D2,D8,DJ;DQ,DA,D10,D6;S5,S7,H4,S4;D9,CQ,C4,C9;HJ,H3,H8,HA;H2,H10,H6,H5;DK,C3,C10,CK;H7,HK,D7,C6;H9,SK,D4,C8;D3,SA,HQ,S6"
1571051403,3,4,2,"C5,C9,C7,C2;S5,SJ,S10,S6;DQ,DK,D3,D4;C6,C10,C4,CJ;D8,D7,D2,DJ;C8,C3,CQ,CA;D9,D6,H2,DA;S4,S7,S9,SQ;HK,H3,H4,H6;HQ,HA,D10,D5;S8,SK,S2,S3;HJ,H5,H8,H9;SA,H10,CK,H7"
1571051403,3,0,2,"CA,C4,C9,C2;S7,S5,SQ,S4;C5,C3,SJ,CQ;SA,S6,S2,S9;DQ,D10,D5,D7;S8,S10,CJ,SK;DK,DJ,D6,D3;H6,DA,D4,D2;C7,HK,HA,C8;C6,H8,H9,CK;H7,H10,HJ,HQ;H5,D8,S3,C10;H2,H4,H3,D9"
1571051403,3,13,2,"CQ,C10,C9,C2;C7,SQ,C4,CJ;C5,D2,C6,C8;D7,S5,CK,C3;DQ,D9,D6,DK;D10,DJ,D4,DA;S6,S8,SJ,S7;S3,SK,SA,S2;S4,H7,H3,S10;H5,H10,H4,H2;D5,D8,HK,D3;H9,HJ,HQ,S9;H6,H8,CA,HA"
1571051403,3,18,2,"CK,C5,CQ,C2;DJ,D4,DA,D10;C4,C10,C9,CJ;D6,DQ,D3,D8;S10,S9,S2,SQ;SK,S3,SJ,S5;D2,D5,S4,D7;C7,C3,C8,CA;D9,HJ,HK,DK;H2,H3,HQ,H4;H7,H6,H10,H9;S6,HA,H5,S7;SA,H8,C6,S8"
1571051403,3,14,2,"C5,C8,C9,C2;CA,C4,CJ,CQ;S5,SQ,S6,S8;C7,SK,S9,S3;S7,SJ,H5,S4;H7,H3,H8,H6;D6,DQ,D8,D3;C6,CK,H2,C10;S10,HK,SA,S2;HJ,H4,D10,HQ;H10,H9,D9,HA;DK,D7,D2,DA;DJ,D5,C3,D4"
1571051403,3,1,2,"C3,C4,C5,C2;D3,D10,D2,D5;CA,CQ,C8,C6;D7,DQ,D9,D4;CJ,C9,HJ,C10;SA,S3,S10,SK;S9,S5,S7,S2;H7,H9,HQ,HK;HA,H6,H2,H3;S6,SQ,D6,SJ;DK,S8,CK,S4;H10,D8,DJ,C7;H4,H8,DA,H5"
1571051403,3,1,2,"C6,CA,CK,C2;D3,D7,D9,D6;S8,S3,S2,S7;H7,C7,C4,C3;D10,D8,DJ,D4;HQ,H5,H2,H6;C9,C5,S5,CQ;HA,H3,H10,H4;HK,S9,SQ,SK;D5,DQ,S6,DK;C10,S10,SJ,S4;SA,CJ,HJ,C8;DA,H8,H9,D2"
