1571051508,3,22,3,"CJ,C4,CQ,C2;S2,SQ,S9,S8;D8,D10,SA,D2;CA,C9,DQ,C5;SK,SJ,S3,S7;H10,C3,C6,C7;D5,S6,S5,S10;D7,D4,S4,D3;HQ,H3,DK,D6;HA,H5,H6,HJ;C8,C10,DJ,D9;H7,H8,H4,HK;H9,H2,CK,DA"
1571051508,3,20,3,"CJ,C8,C10,C2;S9,SQ,S5,SK;C3,CK,C9,CA;D6,DJ,D3,D7;S6,S2,S8,S4;D4,D10,D8,D2;C4,HA,H6,C6;H4,HQ,H3,H10;S7,DQ,DK,D9;D5,SJ,CQ,C7;HK,S10,H8,H9;DA,H2,H7,C5;S3,HJ,H5,SA"
1571051508,3,0,3,"C6,C5,CK,C2;DQ,DA,D2,D6;SA,S10,S2,S3;D9,HQ,DJ,D4;H10,H4,H5,H3;S9,SJ,DK,S5;H6,H7,H9,H2;HK,D5,D3,D8;CA,C4,S7,S8;C8,C9,CJ,C10;S6,CQ,H8,HJ;S4,C3,D7,SK;D10,C7,HA,SQ"
1571051508,3,7,3,"C5,C7,CA,C2;DQ,D4,S6,D9;D7,S9,D8,DA;C4,CJ,C3,C8;S5,S8,SK,S4;S10,D10,D5,DJ;C10,C6,D6,C9;HJ,S7,SJ,SQ;H7,H9,HA,HQ;CQ,D2,H8,CK;HK,H2,S3,SA;H10,H5,H3,H4;D3,DK,S2,H6"
1571051508,3,15,3,"D3,C5,C6,C2;C3,DA,CJ,C9;D2,D8,D6,D5;S5,C8,C7,CQ;S6,S2,S7,SJ;SA,SK,H10,C10;H8,SQ,S9,CA;HJ,H3,HA,H4;D7,D9,DJ,DQ;S8,S10,D4,S3;H2,H6,H5,HQ;H7,HK,C4,H9;CK,S4,D10,DK"
1571051508,3,0,3,"CJ,C4,C8,C2;H7,C6,C7,C10;S9,SJ,SK,S3;S7,HA,SQ,S10;H4,H5,H10,HJ;S2,S8,HK,S4;H8,S5,D5,SA;DJ,CA,D9,S6;D7,D6,DQ,D10;C5,D8,C9,CQ;CK,HQ,DK,C3;D2,D4,H6,D3;H9,DA,H2,H3"
1571051508,3,13,3,"CQ,C5,CK,C2;S4,SQ,S3,SJ;SA,H6,S6,SK;HQ,S9,S2,S8;D9,D3,D6,DJ;H10,HK,H8,H7;DA,C8,CA,C9;C10,DK,D10,D2;S10,H2,H9,H4;HA,C3,C4,CJ;D5,DQ,H3,C6;D8,S7,H5,C7;D4,D7,HJ,S5"
1571051508,3,3,3,"CA,C7,C8,C2;S9,S7,SA,S10;HA,C5,C3,C6;H10,H2,H3,H8;SQ,SJ,C9,SK;S6,S3,HK,S4;H4,H5,HJ,H6;H9,HQ,CK,H7;D9,DK,D4,D8;S5,D6,C4,S8;D10,D2,D7,DJ;C10,DQ,D3,S2;CJ,DA,CQ,D5"
1571051508,3,15,3,"CJ,CA,CK,C2;S3,SK,SJ,S4;DA,D3,D2,D9;C5,DJ,C10,C3;C7,C6,SA,C4;C8,DQ,CQ,C9;H6,S9,SQ,S5;D10,D5,D8,D6;H3,HQ,H8,HK;H10,S6,S8,S7;HA,H7,HJ,H4;H9,D7,DK,S2;H5,D4,H2,S10"
1571051508,3,2,3,"C10,C5,C9,C2;S7,CK,CJ,C8;S9,S8,S4,S10;D6,D3,D10,D7;DK,D8,D5,D9;S6,H3,SQ,SA;HQ,H6,HK,SK;H9,HJ,DJ,S5;C7,CA,DA,S3;C3,DQ,H7,S2;H4,H8,H5,HA;H2,C4,D4,D2;SJ,CQ,C6,H10"
1571051508,3,7,3,"C5,C7,C3,C2;S7,S2,S3,SQ;S4,S6,SJ,SA;CJ,C4,CQ,C8;D3,D6,DA,D9;DQ,C6,C9,CA;D8,D10,D5,DJ;H10,H8,C10,CK;H2,HJ,H3,H9;DK,D4,HK,D2;H5,H4,S10,H7;HA,HQ,S5,D7;S9,H6,S8,SK"
