1570972067,2,18,3,"C9,C3,C4,C2;DQ,D10,D9,D2;S4,S5,S8,S10;CA,CJ,S7,C5;CQ,D7,C7,DA;D6,CK,C6,H9;HA,S2,SJ,S6;H8,H2,S3,S9;H10,HJ,HQ,H4;D4,DK,D5,D3;D8,SA,DJ,H5;H3,C8,C10,HK;H6,SK,H7,SQ"
1570972067,2,0,3,"C3,CA,C6,C2;CQ,C5,C10,C9;D9,DK,DQ,D7;C7,CJ,CK,H8;SA,S4,S8,SK;D2,DJ,D6,DA;HA,H2,HJ,H5;SQ,C8,C4,S10;S3,SJ,S7,S9;S5,H6,S2,S6;HK,H10,H4,H3;D4,D5,D3,H7;D10,H9,D8,HQ"
1570972067,2,7,3,"C3,CA,C8,C2;S10,SJ,S2,S8;C6,C5,C7,C10;SQ,S9,SK,S7;CQ,C9,CJ,CK;D3,D4,D2,D6;DA,D9,D8,DJ;D7,S6,S3,HJ;S5,D10,C4,DK;SA,H10,S4,DQ;H2,HA,H9,H3;H6,HQ,H5,H7;H4,HK,D5,H8"
1570972067,2,1,3,"CQ,C10,C3,C2;S7,S6,S10,S8;SA,HQ,SQ,SK;D6,DJ,DK,D5;D10,C5,D7,D4;H9,C6,C7,CK;D9,D8,S2,DA;C4,C8,HJ,CA;H6,H5,H2,HA;H3,H8,SJ,H10;HK,CJ,S9,H7;DQ,S5,D3,S3;S4,D2,C9,H4"
1570972067,2,2,3,"CA,C5,C4,C2;C8,CK,C6,C9;D8,DA,D2,D4;S7,SJ,S2,S4;DK,D9,DJ,DQ;S8,S10,S5,SQ;D5,S9,S3,SK;CQ,H10,CJ,C10;D10,D7,D6,SA;S6,H9,D3,HA;H2,HJ,H3,H8;H7,H5,C7,C3;H6,H4,HK,HQ"
1570972067,2,1,3,"C3,CK,C9,C2;D5,D10,D3,DA;C7,C5,CJ,C8;DJ,D2,DK,D6;D4,H7,D9,D8;C10,HK,DQ,D7;SK,S4,S3,SJ;SA,S6,S10,S9;HJ,S5,S7,S2;H10,C4,C6,CQ;H5,H3,H9,CA;HQ,H8,HA,H4;H2,SQ,H6,S8"
1570972067,2,3,3,"CA,C9,C4,C2;D5,D6,D10,DA;C10,C7,C3,C6;S7,S4,SJ,S10;D7,DJ,D8,D3;SA,S2,SQ,S8;CK,H10,C8,CJ;D2,D9,D4,DK;HQ,H5,HA,HJ;S5,SK,S9,S3;H6,H3,CQ,C5;HK,H9,H2,DQ;H8,H7,H4,S6"
1570972067,2,6,3,"C3,C7,C6,C2;SQ,S9,SA,S5;C8,CK,C5,CJ;S4,S10,S2,S3;D2,D10,D4,DK;D5,D7,D9,DJ;D6,DA,CA,D8;H7,H9,DQ,D3;H10,HQ,HK,H5;S7,C10,H4,H8;CQ,HJ,S6,HA;C4,H2,SJ,H6;C9,H3,SK,S8"
1570972067,2,9,3,"C4,CQ,CJ,C2;D7,DJ,D9,D8;C9,C10,C6,C3;S9,S2,SK,SQ;DA,S4,D5,DK;S6,S3,S8,SA;D10,DQ,S10,D3;C5,H2,C7,HA;S5,H6,CK,H8;H7,H10,C8,H5;H3,HQ,CA,D6;SJ,D4,S7,D2;H9,HJ,HK,H4"
1570972067,2,14,3,"C6,C4,C8,C2;DJ,D6,DQ,DA;CQ,C9,CA,CJ;S2,S7,S3,SJ;CK,HQ,C3,C10;D3,HA,D9,D5;D7,S9,C5,H9;DK,SA,C7,D10;D2,SK,D4,S5;S10,H3,H8,H2;S4,H4,HK,H10;D8,HJ,H5,H7;H6,SQ,S8,S6"
1570972067,2,2,3,"C9,C5,C7,C2;S10,SQ,S9,SJ;CA,C8,C6,CK;S5,S6,SK,S3;DQ,D6,DJ,D2;D7,HA,S7,S8;H9,H4,HJ,H2;D9,D10,D4,D8;DA,H6,S4,S2;D5,D3,DK,HQ;H7,H8,H3,CJ;H10,CQ,C10,C3;H5,HK,C4,SA"
